"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Neonatal","All","2022","Illinois","17","21","66","31.8%","37909",45730.406,"165250","21","0.483","0.547","0.769","0.968","1.223","0.547","0.968"
"Neonatal","All","2022","Indiana","18","29","38","76.3%","25360",38495.824,"153044","28","0.326","0.465","0.585","0.877","1.712","0.554","0.833"
"Neonatal","All","2022","Iowa","19","4","16","25.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Kansas","20","6","19","31.6%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Kentucky","21","18","22","81.8%","30073",32582.12,"121292","18","Insufficient Data","Insufficient Data","0.955","Insufficient Data","Insufficient Data","0.785","1.225"
"Neonatal","All","2022","Louisiana","22","23","34","67.6%","38576",28888.162,"130997","23","0.515","0.924","1.072","1.316","1.851","0.949","1.312"
"Neonatal","All","2022","Maine","23","3","3","100.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Maryland","24","10","24","41.7%","15138",14832.144,"61995","10","Insufficient Data","Insufficient Data","0.724","Insufficient Data","Insufficient Data","0.489","1.398"
"Neonatal","All","2022","Massachusetts","25","10","28","35.7%","15956",20250.662,"89699","10","Insufficient Data","Insufficient Data","0.641","Insufficient Data","Insufficient Data","0.301","1.072"
"Neonatal","All","2022","Michigan","26","18","31","58.1%","31009",37180.953,"137973","18","Insufficient Data","Insufficient Data","0.842","Insufficient Data","Insufficient Data","0.705","1.056"
"Neonatal","All","2022","Minnesota","27","13","22","59.1%","20924",18247.506,"80614","13","Insufficient Data","Insufficient Data","1.117","Insufficient Data","Insufficient Data","0.724","1.290"
"Neonatal","All","2022","Mississippi","28","5","18","27.8%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Missouri","29","22","33","66.7%","45457",51816.133,"206571","22","0.381","0.529","0.621","1.134","1.209","0.533","1.134"
"Neonatal","All","2022","Montana","30","8","8","100.0%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Nebraska","31","6","14","42.9%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Nevada","32","10","13","76.9%","17739",17933.293,"72342","10","Insufficient Data","Insufficient Data","0.692","Insufficient Data","Insufficient Data","0.554","1.336"
"Neonatal","All","2022","New Hampshire","33","2","6","33.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","New Jersey","34","17","35","48.6%","27228",33833.227,"122471","17","Insufficient Data","Insufficient Data","0.718","Insufficient Data","Insufficient Data","0.555","1.052"
"Neonatal","All","2022","New Mexico","35","2","7","28.6%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","New York","36","44","76","57.9%","79175",79154.21,"296515","44","0.587","0.755","1.036","1.482","1.922","0.856","1.218"
"Neonatal","All","2022","North Carolina","37","25","39","64.1%","47391",55824.58,"218508","25","0.469","0.553","0.816","1.073","1.203","0.579","1.004"
"Neonatal","All","2022","North Dakota","38","2","6","33.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Ohio","39","20","38","52.6%","39389",49739.95,"192333","20","0.525","0.626","0.770","1.096","1.329","0.630","1.080"
"Neonatal","All","2022","Oklahoma","40","10","22","45.5%","26656",20000.092,"87752","10","Insufficient Data","Insufficient Data","1.199","Insufficient Data","Insufficient Data","0.786","1.906"
"Neonatal","All","2022","Oregon","41","9","12","75.0%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Pennsylvania","42","15","63","23.8%","13386",18390.705,"70941","15","Insufficient Data","Insufficient Data","0.684","Insufficient Data","Insufficient Data","0.618","0.861"
"Neonatal","All","2022","Puerto Rico","72","2","18","11.1%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Rhode Island","44","1","1","100.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","South Carolina","45","12","19","63.2%","24615",31544.04,"123872","12","Insufficient Data","Insufficient Data","0.718","Insufficient Data","Insufficient Data","0.442","1.168"
"Neonatal","All","2022","South Dakota","46","1","3","33.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Tennessee","47","21","33","63.6%","52362",49545.824,"194801","21","0.540","0.823","1.102","1.467","1.713","0.823","1.467"
"Neonatal","All","2022","Texas","48","77","156","49.4%","135922",151584.88,"581254","77","0.525","0.636","0.861","1.033","1.348","0.770","0.935"
"Neonatal","All","2022","Utah","49","10","21","47.6%","10094",10027.132,"38695","10","Insufficient Data","Insufficient Data","1.138","Insufficient Data","Insufficient Data","0.645","1.662"
"Neonatal","All","2022","Vermont","50","1","1","100.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Virginia","51","26","34","76.5%","34395",36340.562,"156363","26","0.463","0.669","0.978","1.127","1.456","0.679","1.074"
"Neonatal","All","2022","Washington","53","21","28","75.0%","25039",36185.117,"140597","21","0.418","0.439","0.659","0.793","1.189","0.439","0.793"
"Neonatal","All","2022","West Virginia","54","2","6","33.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Neonatal","All","2022","Wisconsin","55","11","35","31.4%","13324",15274.121,"57882","11","Insufficient Data","Insufficient Data","0.941","Insufficient Data","Insufficient Data","0.753","1.375"
"Neonatal","All","2022","Wyoming","56","0","2","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
