"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Pediatric","All","2022","Montana","30","4","5","80.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Nebraska","31","1","6","16.7%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Nevada","32","4","6","66.7%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","New Hampshire","33","4","6","66.7%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","New Jersey","34","14","35","40.0%","49960",59285.645,"120374","14","Insufficient Data","Insufficient Data","0.736","Insufficient Data","Insufficient Data","0.582","1.031"
"Pediatric","All","2022","New Mexico","35","4","11","36.4%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","New York","36","37","60","61.7%","200838",224413.77,"439596","37","0.442","0.788","0.869","0.994","1.166","0.825","0.974"
"Pediatric","All","2022","North Carolina","37","17","28","60.7%","81537",91401.805,"174692","17","Insufficient Data","Insufficient Data","0.799","Insufficient Data","Insufficient Data","0.687","0.926"
"Pediatric","All","2022","North Dakota","38","0","5","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Ohio","39","10","22","45.5%","102326",120031.69,"233307","10","Insufficient Data","Insufficient Data","0.790","Insufficient Data","Insufficient Data","0.652","1.000"
"Pediatric","All","2022","Oklahoma","40","4","5","80.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Oregon","41","7","9","77.8%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Pennsylvania","42","4","37","10.8%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Puerto Rico","72","3","31","9.7%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Rhode Island","44","0","2","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","South Carolina","45","8","13","61.5%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","South Dakota","46","1","4","25.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Tennessee","47","7","12","58.3%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Texas","48","32","70","45.7%","273893",272524.16,"506011","32","0.757","0.901","0.973","1.105","1.188","0.926","1.068"
"Pediatric","All","2022","Utah","49","3","9","33.3%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Vermont","50","1","2","50.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Virginia","51","11","20","55.0%","59827",59177.848,"109969","11","Insufficient Data","Insufficient Data","0.722","Insufficient Data","Insufficient Data","0.673","1.040"
"Pediatric","All","2022","Washington","53","9","12","75.0%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","West Virginia","54","2","9","22.2%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Wisconsin","55","7","12","58.3%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2022","Wyoming","56","1","3","33.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
