"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Adult","All","2021","Michigan","26","48","134","35.8%","969539",1137912.8,"1795608","48","0.719","0.832","0.894","1.035","1.124","0.866","0.974"
"Adult","All","2021","Minnesota","27","43","105","40.9%","868308",952384.75,"1508069","43","0.754","0.792","0.884","0.985","1.104","0.805","0.944"
"Adult","All","2021","Mississippi","28","20","78","25.6%","449724",417376.25,"648887","20","0.887","1.008","1.176","1.286","1.349","1.025","1.284"
"Adult","All","2021","Missouri","29","67","100","67.0%","1515384",1530114.9,"2383997","67","0.740","0.843","0.983","1.109","1.245","0.945","1.049"
"Adult","All","2021","Montana","30","18","35","51.4%","193839",247849.31,"389393","18","Insufficient Data","Insufficient Data","0.788","Insufficient Data","Insufficient Data","0.740","1.008"
"Adult","All","2021","New Mexico","35","16","46","34.7%","161611",181898.53,"274785","16","Insufficient Data","Insufficient Data","1.004","Insufficient Data","Insufficient Data","0.924","1.200"
"Adult","All","2021","North Carolina","37","67","117","57.2%","1618549",1778580.8,"2829740","67","0.730","0.802","0.915","1.048","1.201","0.868","0.950"
"Adult","All","2021",,"80","6","6","100.0%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Nebraska","31","13","54","24.0%","213749",251502.58,"400007","13","Insufficient Data","Insufficient Data","0.942","Insufficient Data","Insufficient Data","0.741","0.981"
"Adult","All","2021","Nevada","32","13","34","38.2%","521261",501105.7,"801398","13","Insufficient Data","Insufficient Data","1.008","Insufficient Data","Insufficient Data","0.960","1.170"
"Adult","All","2021","New Hampshire","33","7","25","28.0%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","New Jersey","34","28","72","38.8%","695462",848235.75,"1348750","28","0.701","0.825","0.969","1.020","1.113","0.906","1.004"
"Adult","All","2021","New York","36","82","190","43.1%","2849849",3290158.8,"5293130","82","0.731","0.776","0.874","0.986","1.120","0.850","0.923"
"Adult","All","2021","North Dakota","38","4","27","14.8%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Ohio","39","69","167","41.3%","1759338",1960878.1,"3086085","69","0.725","0.819","0.889","1.026","1.158","0.869","0.951"
"Adult","All","2021","Oklahoma","40","31","103","30.1%","655516",646516.5,"1026879","31","0.858","0.944","1.005","1.217","1.252","0.972","1.188"
"Adult","All","2021","Oregon","41","21","60","35.0%","402669",485941.8,"753730","21","0.718","0.752","0.812","0.890","0.954","0.752","0.890"
"Adult","All","2021","Pennsylvania","42","25","186","13.4%","525708",629708.5,"1005675","25","0.703","0.811","0.859","0.904","1.014","0.814","0.891"
"Adult","All","2021","Puerto Rico","72","5","22","22.7%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Rhode Island","44","4","11","36.3%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","South Carolina","45","44","66","66.6%","1015261",1101713.8,"1742754","44","0.724","0.827","0.955","1.077","1.172","0.871","0.995"
"Adult","All","2021","South Dakota","46","6","60","10.0%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Tennessee","47","47","107","43.9%","1311956",1347116,"2122946","47","0.707","0.884","0.990","1.125","1.280","0.956","1.092"
"Adult","All","2021","Texas","48","130","405","32.1%","3219863",3145809.5,"4829828","129","0.839","0.912","1.005","1.133","1.273","0.975","1.042"
"Adult","All","2021","Utah","49","16","46","34.7%","158262",192985.56,"285843","16","Insufficient Data","Insufficient Data","0.823","Insufficient Data","Insufficient Data","0.775","1.015"
"Adult","All","2021","Vermont","50","2","15","13.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Virginia","51","70","91","76.9%","1584607",1654635.9,"2610551","70","0.794","0.901","1.003","1.118","1.247","0.941","1.043"
"Adult","All","2021",,"81","6","7","85.7%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Washington","53","34","91","37.3%","695647",856899.75,"1368241","34","0.606","0.755","0.817","0.968","0.986","0.794","0.934"
"Adult","All","2021","West Virginia","54","15","54","27.7%","314049",242259.62,"389331","15","Insufficient Data","Insufficient Data","1.195","Insufficient Data","Insufficient Data","1.057","1.386"
