"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Pediatric","All","2023","Maryland","24","6","18","33.3%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Massachusetts","25","7","21","33.3%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Michigan","26","7","16","43.7%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Minnesota","27","11","13","84.6%","74686",62262.062,"121086","11","Insufficient Data","Insufficient Data","0.988","Insufficient Data","Insufficient Data","0.733","1.301"
"Pediatric","All","2023","Mississippi","28","5","14","35.7%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Missouri","29","10","16","62.5%","87495",95696.54,"183874","10","Insufficient Data","Insufficient Data","0.918","Insufficient Data","Insufficient Data","0.803","1.006"
"Pediatric","All","2023","Montana","30","4","5","80.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Nebraska","31","2","5","40.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Nevada","32","4","6","66.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","New Hampshire","33","4","6","66.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","New Jersey","34","17","35","48.5%","52599",60178.42,"120195","17","Insufficient Data","Insufficient Data","0.877","Insufficient Data","Insufficient Data","0.662","0.988"
"Pediatric","All","2023","New Mexico","35","6","9","66.6%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","New York","36","38","56","67.8%","213840",226001.81,"446160","38","0.428","0.802","0.938","1.113","1.291","0.837","1.003"
"Pediatric","All","2023","North Carolina","37","16","25","64.0%","85963",89671.8,"169290","16","Insufficient Data","Insufficient Data","0.914","Insufficient Data","Insufficient Data","0.843","1.060"
"Pediatric","All","2023","North Dakota","38","2","5","40.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Ohio","39","12","21","57.1%","120259",130827.445,"252145","12","Insufficient Data","Insufficient Data","0.790","Insufficient Data","Insufficient Data","0.687","0.891"
"Pediatric","All","2023","Oklahoma","40","3","5","60.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Oregon","41","7","10","70.0%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Pennsylvania","42","11","29","37.9%","78466",99340.8,"183514","11","Insufficient Data","Insufficient Data","0.823","Insufficient Data","Insufficient Data","0.739","0.933"
"Pediatric","All","2023","Puerto Rico","72","4","33","12.1%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Rhode Island","44","0","2","0.0%",,,,,"Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","South Carolina","45","7","13","53.8%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","South Dakota","46","1","3","33.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Tennessee","47","7","11","63.6%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Texas","48","34","62","54.8%","283135",268043.03,"495866","34","0.836","0.930","1.030","1.149","1.215","0.966","1.114"
"Pediatric","All","2023","Utah","49","3","8","37.5%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Vermont","50","1","2","50.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Virginia","51","11","15","73.3%","50645",48179.49,"91178","11","Insufficient Data","Insufficient Data","0.825","Insufficient Data","Insufficient Data","0.692","0.984"
"Pediatric","All","2023","Washington","53","11","12","91.6%","55835",65010.094,"124168","11","Insufficient Data","Insufficient Data","0.698","Insufficient Data","Insufficient Data","0.476","1.044"
"Pediatric","All","2023","West Virginia","54","1","9","11.1%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Wisconsin","55","6","10","60.0%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2023","Wyoming","56","1","3","33.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
