"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Adult","All","2023","Iowa","19","19","107","17.7%","303858",341003.78,"532993","19","Insufficient Data","Insufficient Data","0.926","Insufficient Data","Insufficient Data","0.897","1.081"
"Adult","All","2023","Kansas","20","28","102","27.4%","275692",300376.9,"463477","28","0.827","0.881","0.969","1.110","1.207","0.891","1.082"
"Adult","All","2023","Kentucky","21","64","96","66.6%","1084262",1098009.4,"1684803","64","0.723","0.886","1.033","1.183","1.284","0.950","1.114"
"Adult","All","2023","Louisiana","22","58","119","48.7%","928794",906937.75,"1391744","58","0.721","0.892","1.004","1.118","1.330","0.966","1.074"
"Adult","All","2023","Maine","23","18","26","69.2%","304693",339040.53,"548226","18","Insufficient Data","Insufficient Data","0.994","Insufficient Data","Insufficient Data","0.884","1.166"
"Adult","All","2023","Maryland","24","21","43","48.8%","665482",696034.44,"1108714","21","0.825","0.923","0.946","1.066","1.172","0.923","1.066"
"Adult","All","2023","Massachusetts","25","35","65","53.8%","1114303",1264812.9,"2029616","35","0.658","0.744","0.858","0.911","1.060","0.815","0.882"
"Adult","All","2023","Michigan","26","50","130","38.4%","1239681",1383464.6,"2172349","50","0.794","0.839","0.908","1.067","1.144","0.888","0.997"
"Adult","All","2023","Minnesota","27","52","103","50.4%","993859",1059799,"1697282","52","0.791","0.861","0.942","1.038","1.180","0.884","0.993"
"Adult","All","2023","Mississippi","28","26","81","32.1%","582299",540829.06,"839953","26","0.872","0.963","1.086","1.227","1.362","0.997","1.203"
"Adult","All","2023","Missouri","29","72","101","71.2%","1694477",1692933.4,"2657190","72","0.836","0.921","1.036","1.132","1.316","0.981","1.058"
"Adult","All","2023","Montana","30","19","43","44.1%","188845",216635.03,"343753","19","Insufficient Data","Insufficient Data","0.850","Insufficient Data","Insufficient Data","0.780","0.967"
"Adult","All","2023","Nebraska","31","17","65","26.1%","285586",325936.75,"513265","17","Insufficient Data","Insufficient Data","0.982","Insufficient Data","Insufficient Data","0.891","1.061"
"Adult","All","2023","Nevada","32","20","36","55.5%","803711",785996.4,"1245897","20","0.884","0.940","1.023","1.123","1.153","0.946","1.122"
"Adult","All","2023","New Hampshire","33","10","25","40.0%","144110",171453.88,"262420","10","Insufficient Data","Insufficient Data","0.801","Insufficient Data","Insufficient Data","0.758","0.945"
"Adult","All","2023","New Jersey","34","46","71","64.7%","1201902",1304790.1,"2057667","46","0.738","0.838","0.946","1.038","1.126","0.894","1.013"
"Adult","All","2023","New Mexico","35","21","44","47.7%","291124",282021.75,"423625","21","0.897","0.981","1.089","1.181","1.328","0.981","1.181"
"Adult","All","2023","New York","36","115","189","60.8%","4187966",4551930,"7322010","115","0.739","0.814","0.926","1.063","1.226","0.884","0.944"
"Adult","All","2023","North Carolina","37","80","118","67.8%","1841526",1932211.9,"3054737","80","0.792","0.859","0.988","1.107","1.192","0.933","1.050"
"Adult","All","2023","North Dakota","38","13","27","48.1%","176578",186208.42,"302315","13","Insufficient Data","Insufficient Data","0.972","Insufficient Data","Insufficient Data","0.810","1.050"
"Adult","All","2023","Ohio","39","105","160","65.6%","2656638",2878879,"4508872","105","0.776","0.857","0.925","1.033","1.160","0.906","0.966"
"Adult","All","2023","Oklahoma","40","41","109","37.6%","670735",621126.94,"974326","41","0.857","0.984","1.045","1.199","1.283","0.993","1.144"
"Adult","All","2023","Oregon","41","36","57","63.1%","578203",663462.7,"1043558","34","0.721","0.776","0.868","0.986","1.093","0.817","0.973"
"Adult","All","2023","Pennsylvania","42","58","178","32.5%","1440706",1574563,"2474326","58","0.745","0.834","0.927","1.033","1.143","0.881","0.975"
"Adult","All","2023","Puerto Rico","72","6","49","12.2%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","Rhode Island","44","5","11","45.4%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","South Carolina","45","36","66","54.5%","1025954",1093966.2,"1733677","36","0.798","0.886","0.936","1.036","1.153","0.907","1.009"
"Adult","All","2023","South Dakota","46","7","58","12.0%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","Tennessee","47","74","105","70.4%","1904032",1875147.1,"2930844","74","0.815","0.927","1.028","1.181","1.265","0.990","1.090"
"Adult","All","2023","Texas","48","189","415","45.5%","5168762",4823541.5,"7499477","189","0.859","0.957","1.075","1.167","1.300","1.037","1.103"
"Adult","All","2023","Utah","49","17","45","37.7%","160364",181294.88,"281962","17","Insufficient Data","Insufficient Data","0.830","Insufficient Data","Insufficient Data","0.776","0.943"
"Adult","All","2023","Vermont","50","5","15","33.3%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","Virginia","51","80","89","89.8%","1903190",1866158.8,"2939210","80","0.880","0.939","1.020","1.112","1.193","0.977","1.054"
"Adult","All","2023","Washington","53","53","85","62.3%","1252636",1374155.9,"2178797","53","0.749","0.838","0.933","1.026","1.165","0.868","0.993"
"Adult","All","2023","West Virginia","54","15","52","28.8%","200748",164631.62,"259204","15","Insufficient Data","Insufficient Data","1.164","Insufficient Data","Insufficient Data","1.052","1.330"
"Adult","All","2023","Wisconsin","55","65","140","46.4%","778395",871934.9,"1370328","65","0.743","0.827","0.920","0.999","1.050","0.886","0.960"
"Adult","All","2023","Wyoming","56","4","26","15.3%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
