"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Adult","All","2022","Indiana","18","86","120","71.7%","1492685",1567252,"2466057","86","0.819","0.900","1.028","1.102","1.310","0.966","1.060"
"Adult","All","2022","Iowa","19","15","104","14.4%","310389",340901.75,"537280","15","Insufficient Data","Insufficient Data","0.953","Insufficient Data","Insufficient Data","0.869","1.086"
"Adult","All","2022","Kansas","20","17","102","16.7%","219724",235700.25,"362123","17","Insufficient Data","Insufficient Data","0.944","Insufficient Data","Insufficient Data","0.855","0.983"
"Adult","All","2022","Kentucky","21","60","95","63.2%","1042729",1059357.4,"1621880","60","0.787","0.887","1.013","1.185","1.333","0.937","1.078"
"Adult","All","2022","Louisiana","22","55","115","47.8%","940049",924048.25,"1415392","55","0.614","0.888","1.025","1.123","1.295","0.982","1.056"
"Adult","All","2022","Maine","23","19","27","70.4%","313977",356612.28,"570762","19","Insufficient Data","Insufficient Data","0.954","Insufficient Data","Insufficient Data","0.910","1.123"
"Adult","All","2022","Maryland","24","20","44","45.5%","566167",606347.9,"971426","20","0.792","0.889","0.951","1.013","1.129","0.896","1.001"
"Adult","All","2022","Massachusetts","25","28","66","42.4%","913497",1069240.8,"1692436","28","0.616","0.732","0.816","0.867","0.990","0.760","0.844"
"Adult","All","2022","Michigan","26","59","132","44.7%","1448941",1710624,"2699358","59","0.751","0.817","0.886","1.035","1.120","0.841","0.969"
"Adult","All","2022","Minnesota","27","45","103","43.7%","968858",1071273.4,"1706661","45","0.741","0.819","0.898","1.003","1.083","0.847","0.956"
"Adult","All","2022","Mississippi","28","21","80","26.3%","349787",341863.4,"525323","21","0.910","1.005","1.085","1.183","1.256","1.005","1.183"
"Adult","All","2022","Missouri","29","70","101","69.3%","1633532",1709375.8,"2692498","70","0.807","0.880","0.972","1.136","1.251","0.927","1.033"
"Adult","All","2022","Montana","30","19","34","55.9%","186730",225997.14,"358071","19","Insufficient Data","Insufficient Data","0.815","Insufficient Data","Insufficient Data","0.692","0.890"
"Adult","All","2022","Nebraska","31","14","57","24.6%","251356",305173.06,"482876","14","Insufficient Data","Insufficient Data","0.918","Insufficient Data","Insufficient Data","0.775","1.011"
"Adult","All","2022","Nevada","32","19","35","54.3%","744701",725795.2,"1159553","18","Insufficient Data","Insufficient Data","1.054","Insufficient Data","Insufficient Data","0.962","1.077"
"Adult","All","2022","New Hampshire","33","9","25","36.0%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","New Jersey","34","37","72","51.4%","948615",1013690.56,"1606442","37","0.717","0.835","0.928","1.023","1.082","0.873","1.003"
"Adult","All","2022","New Mexico","35","14","43","32.6%","164992",172515.44,"263914","14","Insufficient Data","Insufficient Data","1.111","Insufficient Data","Insufficient Data","0.985","1.217"
"Adult","All","2022","New York","36","101","190","53.2%","3847614",4293023.5,"6914908","101","0.747","0.796","0.888","0.970","1.094","0.855","0.915"
"Adult","All","2022","North Carolina","37","70","118","59.3%","1724045",1883361.2,"2986867","70","0.747","0.827","0.922","1.072","1.159","0.865","0.984"
"Adult","All","2022","North Dakota","38","3","27","11.1%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Ohio","39","91","158","57.6%","2353110",2601558.5,"4081509","91","0.743","0.838","0.931","1.008","1.125","0.902","0.958"
"Adult","All","2022","Oklahoma","40","32","106","30.2%","712128",679801.1,"1071867","32","0.906","0.959","1.088","1.191","1.261","0.997","1.157"
"Adult","All","2022","Oregon","41","34","59","57.6%","521984",664139.5,"1045118","34","0.492","0.731","0.770","0.854","0.954","0.741","0.841"
"Adult","All","2022","Pennsylvania","42","38","180","21.1%","921926",1076827.6,"1695017","38","0.699","0.803","0.874","0.934","1.016","0.833","0.910"
"Adult","All","2022","Puerto Rico","72","6","42","14.3%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Rhode Island","44","5","11","45.5%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","South Carolina","45","41","66","62.1%","1023544",1122373.6,"1783410","41","0.776","0.877","0.970","1.027","1.140","0.897","1.010"
"Adult","All","2022","South Dakota","46","8","59","13.6%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Tennessee","47","64","103","62.1%","1769061",1797517.9,"2825255","64","0.803","0.881","1.004","1.165","1.269","0.939","1.055"
"Adult","All","2022","Texas","48","152","407","37.3%","3980964",3958902.2,"6113698","151","0.812","0.894","0.990","1.126","1.231","0.959","1.031"
"Adult","All","2022","Utah","49","18","45","40.0%","180549",207694.47,"316530","18","Insufficient Data","Insufficient Data","0.860","Insufficient Data","Insufficient Data","0.799","1.015"
"Adult","All","2022","Vermont","50","3","15","20.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2022","Virginia","51","76","89","85.4%","1765624",1789617.5,"2815488","76","0.820","0.903","0.984","1.106","1.238","0.943","1.044"
"Adult","All","2022","Washington","53","47","90","52.2%","1039665",1206969.4,"1902290","47","0.704","0.783","0.875","0.973","1.101","0.838","0.930"
"Adult","All","2022","West Virginia","54","17","52","32.7%","324620",263172.6,"415965","17","Insufficient Data","Insufficient Data","1.101","Insufficient Data","Insufficient Data","0.994","1.186"
"Adult","All","2022","Wisconsin","55","54","140","38.6%","744756",834399,"1329665","54","0.743","0.846","0.926","1.001","1.105","0.901","0.973"
"Adult","All","2022","Wyoming","56","3","27","11.1%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
