"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Pediatric","All","2021","Nebraska","31","1","6","16.6%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Nevada","32","2","6","33.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","New Hampshire","33","3","6","50.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","New Jersey","34","13","36","36.1%","43549",42899.02,"84312","13","Insufficient Data","Insufficient Data","0.762","Insufficient Data","Insufficient Data","0.588","1.214"
"Pediatric","All","2021","New Mexico","35","6","11","54.5%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","New York","36","31","64","48.4%","144087",164695.62,"324945","31","0.543","0.754","0.865","1.069","1.113","0.781","1.020"
"Pediatric","All","2021","North Carolina","37","17","32","53.1%","72524",84343.71,"161572","17","Insufficient Data","Insufficient Data","0.750","Insufficient Data","Insufficient Data","0.619","0.962"
"Pediatric","All","2021","North Dakota","38","1","5","20.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Ohio","39","10","21","47.6%","81915",96172.93,"183159","10","Insufficient Data","Insufficient Data","0.627","Insufficient Data","Insufficient Data","0.597","0.841"
"Pediatric","All","2021","Oklahoma","40","5","7","71.4%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Oregon","41","5","9","55.5%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Pennsylvania","42","1","39","2.5%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Puerto Rico","72","3","17","17.6%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Rhode Island","44","0","2","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","South Carolina","45","8","16","50.0%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","South Dakota","46","1","5","20.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Tennessee","47","7","15","46.6%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Texas","48","25","75","33.3%","176111",169802.77,"309303","25","0.789","0.924","1.011","1.153","1.233","0.958","1.148"
"Pediatric","All","2021","Utah","49","3","10","30.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Vermont","50","1","2","50.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Virginia","51","14","24","58.3%","60956",61856.07,"114713","14","Insufficient Data","Insufficient Data","0.730","Insufficient Data","Insufficient Data","0.639","0.999"
"Pediatric","All","2021",,"80","1","1","100.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Washington","53","5","13","38.4%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","West Virginia","54","3","12","25.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Wisconsin","55","7","12","58.3%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
